"clip","start_seconds","end_seconds","padded_seconds","status","detected","Prolongation","Block","SoundRep","WordRep","Interjection","Fluent","fluency"
"clip_001.wav","0","3","0","classified","WordRep;Fluent","0.164","0.562","0.482","0.851","0.444","0.382","0.343"
"clip_002.wav","3","6","0","classified","WordRep;Interjection","0.645","0.632","0.754","0.746","0.816","0.222","0.136"
"clip_003.wav","6","9","0","classified","Fluent","0.098","0.338","0.139","0.273","0.058","0.878","0.64"
"clip_004.wav","9","12","0","classified","Fluent","0.61","0.367","0.065","0.241","0.158","0.743","0.695"
"clip_005.wav","12","15","0","classified","WordRep","0.408","0.554","0.593","0.924","0.594","0.192","0.242"
"clip_006.wav","15","18","0","classified","Fluent","0.669","0.559","0.581","0.349","0.205","0.383","0.635"
"clip_007.wav","18","21","0","classified","Prolongation","0.892","0.594","0.735","0.461","0.388","0.13","0.288"
"clip_008.wav","21","24","0","classified","Prolongation;Interjection;Fluent","0.803","0.473","0.191","0.169","0.969","0.475","0.148"
"clip_009.wav","24","27","0","classified","Fluent","0.241","0.391","0.138","0.333","0.531","0.784","0.755"
"clip_010.wav","27","30","0","classified","Fluent","0.469","0.434","0.144","0.303","0.491","0.721","0.7"
"clip_011.wav","30","33","0","classified","WordRep","0.58","0.535","0.635","0.732","0.504","0.304","0.513"
"clip_012.wav","33","36","0","classified","WordRep;Interjection;Fluent","0.521","0.584","0.413","0.645","0.796","0.466","0.32"
"clip_013.wav","36","39","0","classified","WordRep","0.652","0.537","0.294","0.838","0.315","0.355","0.515"
"clip_014.wav","39","42","0","classified","Fluent","0.259","0.285","0.084","0.165","0.065","0.881","0.798"
"clip_015.wav","42","45","0","classified","Prolongation;Interjection;Fluent","0.8","0.443","0.23","0.302","0.903","0.465","0.441"
"clip_016.wav","45","48","0","classified","Fluent","0.088","0.29","0.098","0.337","0.192","0.876","0.721"
"clip_017.wav","48","51","0","classified","WordRep;Fluent","0.186","0.611","0.367","0.618","0.271","0.563","0.646"
"clip_018.wav","51","54","0","classified","WordRep;Fluent","0.303","0.504","0.364","0.683","0.374","0.576","0.627"
"clip_019.wav","54","57","0","classified","Fluent","0.575","0.558","0.223","0.367","0.081","0.608","0.747"
"clip_020.wav","57","60","0","classified","Fluent","0.711","0.469","0.358","0.401","0.2","0.494","0.621"
"clip_021.wav","60","63","0","classified","WordRep;Fluent","0.088","0.289","0.279","0.642","0.175","0.76","0.563"
"clip_022.wav","63","66","0","classified","Fluent","0.661","0.623","0.408","0.311","0.279","0.48","0.492"
"clip_023.wav","66","69","0","classified","Prolongation;Interjection;Fluent","0.764","0.427","0.208","0.434","0.893","0.427","0.243"
"clip_024.wav","69","72","0","classified","Fluent","0.398","0.542","0.483","0.546","0.125","0.529","0.581"
"clip_025.wav","72","75","0","classified","WordRep;Fluent","0.316","0.493","0.44","0.642","0.298","0.555","0.563"
"clip_026.wav","75","78","0","classified","WordRep;Fluent","0.245","0.39","0.187","0.899","0.206","0.489","0.475"
"clip_027.wav","78","81","0","classified","Fluent","0.296","0.4","0.176","0.404","0.145","0.741","0.705"
"clip_028.wav","81","84","0","classified","Fluent","0.434","0.454","0.165","0.593","0.353","0.629","0.749"
"clip_029.wav","84","87","0","classified","WordRep","0.595","0.487","0.469","0.807","0.578","0.361","0.525"
"clip_030.wav","87","90","0","classified","WordRep;Fluent","0.466","0.438","0.285","0.632","0.272","0.588","0.616"
"clip_031.wav","90","93","0","classified","Block;Fluent","0.158","0.731","0.294","0.344","0.167","0.666","0.712"
"clip_032.wav","93","96","0","classified","Fluent","0.115","0.463","0.107","0.293","0.204","0.84","0.803"
"clip_033.wav","96","99","0","classified","WordRep;Fluent","0.505","0.435","0.298","0.784","0.269","0.494","0.641"
"clip_034.wav","99","101.63066666666667","0.36933333333333335","classified","Block;Fluent","0.416","0.693","0.535","0.258","0.416","0.529","0.593"
